airline,src,dest,codeshare,stops,equipment
2O,ADQ,KKB,,0,BNI
3E,BRL,ORD,,0,CNC
3E,BRL,STL,,0,CNC
3E,DEC,ORD,,0,CNC
3E,DEC,STL,,0,CNC
3E,JBR,STL,,0,CNC
3E,ORD,BRL,,0,CNC
3E,ORD,DEC,,0,CNC
3E,STL,BRL,,0,CNC
3E,STL,DEC,,0,CNC
3E,STL,JBR,,0,CNC
3F,CGA,HYL,,0,DHP
3F,CGA,KTN,,0,DHP
3F,HYL,CGA,,0,DHP
3F,HYL,KTB,,0,DHP
3F,HYL,KTN,,0,DHP
3F,KTB,HYL,,0,DHP
3F,KTB,KTN,,0,DHP
3F,KTN,CGA,,0,DHP
3F,KTN,HYL,,0,DHP
3F,KTN,KTB,,0,DHP
3F,KTN,MTM,,0,DHP
3F,MTM,KTN,,0,DHP
3M,ATL,LWB,,0,SF3
3M,ATL,MCN,,0,SF3
3M,ATL,MEI,,0,SF3
3M,ATL,MSL,,0,SF3
3M,ATL,PIB,,0,SF3
3M,ATL,TUP,,0,SF3
3M,EYW,FLL,,0,SF3
3M,EYW,RSW,,0,SF3
3M,EYW,TPA,,0,SF3
3M,FLL,EYW,,0,SF3
3M,FLL,MCO,,0,SF3
3M,FLL,TPA,,0,SF3
3M,GLH,TUP,,0,SF3
3M,GNV,MCO,,0,SF3
3M,GNV,TPA,,0,SF3
3M,JAX,TPA,,0,SF3
3M,LWB,ATL,,0,SF3
3M,MCN,ATL,,0,SF3
3M,MCN,MCO,,0,SF3
3M,MCO,FLL,,0,SF3
3M,MCO,GNV,,0,SF3
3M,MCO,MCN,,0,SF3
3M,MCO,PNS,,0,SF3
3M,MCO,RSW,,0,SF3
3M,MCO,TLH,,0,SF3
3M,MEI,ATL,,0,SF3
3M,MSL,ATL,,0,SF3
3M,PBI,TPA,,0,SF3
3M,PIB,ATL,,0,SF3 
3M,PNS,MCO,,0,SF3
3M,PNS,TPA,,0,SF3
3M,RSW,EYW,,0,SF3
3M,RSW,MCO,,0,SF3
3M,TLH,MCO,,0,SF3
3M,TLH,TPA,,0,SF3
3M,TPA,EYW,,0,SF3
3M,TPA,FLL,,0,SF3
3M,TPA,GNV,,0,SF3
3M,TPA,JAX,,0,SF3
3M,TPA,PBI,,0,SF3
3M,TPA,PNS,,0,SF3
3M,TPA,TLH,,0,SF3
3M,TUP,ATL,,0,SF3 
3M,TUP,GLH,,0,SF3
4B,LAS,LAX,,0,PL2
4B,LAX,LAS,,0,PL2
4Y,AKI,TLT,,0,CNA
4Y,BET,EEK,,0,CNA
4Y,BET,GNU,,0,CNA
4Y,BET,KWT,,0,CNA
4Y,BET,MLL,,0,CNA
4Y,BET,WNA,,0,CNA
4Y,EEK,BET,,0,CNA
4Y,GNU,PTU,,0,CNA
4Y,PKA,BET,,0,CNA
4Y,PTU,BET,,0,CNA
4Y,TLT,BET,,0,CNA
4Y,WNA,PKA,,0,CNA
5J,DPL,DVO,,0,ATR
5J,DVO,DPL,,0,ATR
7H,ADQ,ANC,,0,DH8 BE1
7H,AKI,TLT,Y,0,CNA
7H,ANC,ADQ,,0,DH8 BE1
7H,ANC,ANI,,0,BE1 DH8
7H,ANC,BET,,0,DH8
7H,ANC,CDV,,0,BE1
7H,ANC,ENA,,0,BE1 DH8
7H,ANC,FAI,,0,DH8 BE1
7H,ANC,HOM,,0,BE1 DH8
7H,ANC,KSM,,0,DH8
7H,ANC,UNK,,0,DH8
7H,ANC,VDZ,,0,DH8 BE1
7H,ANI,ANC,,0,BE1 DH8
7H,ANI,CHU,Y,0,CNA
7H,ANI,KLG,Y,0,CNA CNC
7H,ANI,RSH,Y,0,CNA
7H,ANI,SHX,Y,0,CNC
7H,ANV,KGX,Y,0,CNC
7H,ATK,BRW,Y,0,CNC
7H,AUK,SXP,Y,0,CNA
7H,BET,ANC,,0,DH8
7H,BET,EEK,Y,0,CNA
7H,BET,HPB,Y,0,CNA
